Year,Land cover classes,Total
2015,Natural surfaces,10063380
2015,Natural aquatic vegetated: Herbaceous,100
2015,Natural aquatic vegetated: Woody,8199
2015,Water: Perennial,157308
2015,Water: Non-perennial,187606
2015,Tidal area,11411
2016,Artificial surfaces,110450
2016,Cultivated terrestrial vegetated: Herbaceous,21931377
2016,Cultivated terrestrial vegetated: Woody,296651
2016,Natural terrestrial vegetated: Herbaceous,32548530
2016,Natural terrestrial vegetated: Woody,18640241
2016,Natural surfaces,5879947
2016,Natural aquatic vegetated: Herbaceous,102
2016,Natural aquatic vegetated: Woody,8305
2016,Water: Perennial,149905
2016,Water: Non-perennial,504466
2016,Tidal area,11449
2017,Artificial surfaces,114282
2017,Cultivated terrestrial vegetated: Herbaceous,11232256
2017,Cultivated terrestrial vegetated: Woody,199551
2017,Natural terrestrial vegetated: Herbaceous,39592701
2017,Natural terrestrial vegetated: Woody,19490907
2017,Natural surfaces,9016918
2017,Natural aquatic vegetated: Herbaceous,117
2017,Natural aquatic vegetated: Woody,8268
2017,Water: Perennial,241867
2017,Water: Non-perennial,172906
2017,Tidal area,11462
2018,Artificial surfaces,130898
2018,Cultivated terrestrial vegetated: Herbaceous,6512262
2018,Cultivated terrestrial vegetated: Woody,106562
2018,Natural terrestrial vegetated: Herbaceous,35491552
2018,Natural terrestrial vegetated: Woody,16980194
2018,Natural surfaces,20559071
2018,Natural aquatic vegetated: Herbaceous,139
2018,Natural aquatic vegetated: Woody,8230
2018,Water: Perennial,163583
2018,Water: Non-perennial,117045
2018,Tidal area,11298
2019,Artificial surfaces,134132
2019,Cultivated terrestrial vegetated: Herbaceous,9839862
2019,Cultivated terrestrial vegetated: Woody,89021
2019,Natural terrestrial vegetated: Herbaceous,28958032
2019,Natural terrestrial vegetated: Woody,15096647
2019,Natural surfaces,25715304
2019,Natural aquatic vegetated: Herbaceous,259
2019,Natural aquatic vegetated: Woody,8136
2019,Water: Perennial,126512
2019,Water: Non-perennial,103086
2019,Tidal area,10996
2020,Artificial surfaces,127411
2020,Cultivated terrestrial vegetated: Herbaceous,23091566
2020,Cultivated terrestrial vegetated: Woody,1054201
2020,Natural terrestrial vegetated: Herbaceous,21890654
2020,Natural terrestrial vegetated: Woody,17830869
2020,Natural surfaces,15618408
2020,Natural aquatic vegetated: Herbaceous,187
2020,Natural aquatic vegetated: Woody,8216
2020,Water: Perennial,141374
2020,Water: Non-perennial,307199
2020,Tidal area,11178
2021,Artificial surfaces,120807
2021,Cultivated terrestrial vegetated: Herbaceous,14852378
2021,Cultivated terrestrial vegetated: Woody,1014571
2021,Natural terrestrial vegetated: Herbaceous,31178207
2021,Natural terrestrial vegetated: Woody,21586140
2021,Natural surfaces,10743384
2021,Natural aquatic vegetated: Herbaceous,163
2021,Natural aquatic vegetated: Woody,8220
2021,Water: Perennial,205694
2021,Water: Non-perennial,358890
2021,Tidal area,11154
2022,Artificial surfaces,111758
2022,Cultivated terrestrial vegetated: Herbaceous,19754318
2022,Cultivated terrestrial vegetated: Woody,2262416
2022,Natural terrestrial vegetated: Herbaceous,23986203
2022,Natural terrestrial vegetated: Woody,25524521
2022,Natural surfaces,6991117
2022,Natural aquatic vegetated: Herbaceous,144
2022,Natural aquatic vegetated: Woody,8386
2022,Water: Perennial,357403
2022,Water: Non-perennial,1070629
2022,Tidal area,11310
2023,Artificial surfaces,118060
2023,Cultivated terrestrial vegetated: Herbaceous,12149063
2023,Cultivated terrestrial vegetated: Woody,734765
2023,Natural terrestrial vegetated: Herbaceous,38187925
2023,Natural terrestrial vegetated: Woody,21483634
2023,Natural surfaces,6673965
2023,Natural aquatic vegetated: Herbaceous,139
2023,Natural aquatic vegetated: Woody,8340
2023,Water: Perennial,434544
2023,Water: Non-perennial,277548
2023,Tidal area,11359
2024,Artificial surfaces,118643
2024,Cultivated terrestrial vegetated: Herbaceous,17200986
2024,Cultivated terrestrial vegetated: Woody,1198545
2024,Natural terrestrial vegetated: Herbaceous,29910469
2024,Natural terrestrial vegetated: Woody,24052752
2024,Natural surfaces,7023349
2024,Natural aquatic vegetated: Herbaceous,157
2024,Natural aquatic vegetated: Woody,8341
2024,Water: Perennial,297771
2024,Water: Non-perennial,256896
2024,Tidal area,11290
